V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	Q1	Q2	Q3	Q4	Q35	Q35_TEXT	Q5	Q5_TEXT	Q6	Q8	Q10	Q36	Q33_1	Q33_2	Q33_3	Q33_4	Q33_5	Q33_6	Q33_7	Q33_8	Q33_9	Q33_10	Q33_11	Q33_12	Q33_13	Q33_14	Q33_15	Q33_16	Q33_17	Q33_18	Q33_19	Q33_20	Q33_21	Q33_22	Q33_23	Q33_24	Q33_25	Q33_26	Q33_27	Q33_28	Q33_29	Q33_30	Q37	Q38	Q39	LocationLatitude	LocationLongitude	LocationAccuracy
R_88umE2ct1aVqbs1	Default Response Set	Anonymous			141.209.33.151	0	4/23/2014 14:06	4/23/2014 14:10	1	1	1	3	1	2		3		2	5	10	1	1	2	2	2	1	2	2	1	2	1	2	1	2	2	1	2	1	2	1	2	1	2	1	2	1	1	1	2	2	2				43.56469727	-84.84729767	-1
R_eLDcqPwhuAENVR3	Default Response Set	Anonymous			209.242.149.253	0	4/23/2014 14:32	4/23/2014 14:36	1	1	1	2	1	1		3		2	1	8	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	2	1	1	2	1	2	1	2	2	2	1	2	2	2	no			33.19590759	-117.3795013	-1
R_a92YpHvZh18KFVj	Default Response Set	Anonymous			65.254.18.194	0	4/23/2014 14:27	4/23/2014 14:37	1	1	1	4	7	1		3		2	3	8	2	1	2	1	2	2	2	2	1	2	1	2	2	2	2	1	1	2	1	2	2	2	2	1	2	2	1	1	2	2	2	"No it has not affected my career. When I first started as a librarian I had a very challenging supervisor who found fault with EVERYTHING and was a diabolical person. My way of coping was to do such outstanding work, no matter what I might be accused of, it wouldn't adversly affect me professionally. It worked and that supervisor has long moved on to torment another library. "	Have a impartial person present when a supervisor formatlly evaulates a staff member. 	"Excellence in one's work is the best preventative measure. Also, do not mistake co-workers for friends/confidantes; do not reveal your most personal details in the workplace. It's fine to be friendly and socialize but know the difference between a friend and an acquaintance. "	40.7980957	-73.06800079	-1
R_dbQE0keKaxb0eAR	Default Response Set	Anonymous			216.87.207.2	0	4/23/2014 14:41	4/23/2014 14:53	1	1	1	4	1	2		3		1	6	8	2	1	2	2	1	2	1	2	1	2	1	2	2	2	2	2	2	1	1	1	2	1	2	1	2	2	2	2	2	2	2	No	Bring in an outside consultant and evaluate why those fears exist.	"""You can please some of the people some of the time but you can't please all of the people all of the time.""  Do the best job you can and don't sweat the small stuff."	40.8164978	-76.8812027	-1
R_8wfeDQT6NwDUt3n	Default Response Set	Anonymous			142.157.155.99	0	4/23/2014 14:42	4/23/2014 14:55	1	1	1	1	1	6	currently unemployed	1		2	1	8		1	2	2	2	2	2	2	1	2	1	2	1	2	2	1	1	2	1	2	2	1	2	1	2	1	2	1	2	2	2	"I'm afraid of the opposite: that I am too fond of criticism, but encouraging other people to give me critical feedback never works. "	"It may not be the workplace: it may be training. Lots of MLIS programs lack soft-skills training, including conflict negotiation or dealing with feedback. "		45.50779724	-73.58039856	-1
R_5AXgYHgr5uwv4BD	Default Response Set	Anonymous			64.66.92.133	0	4/23/2014 15:02	4/23/2014 15:13	1	1	1	2	1	1		3		1	3	4	2	1	2	2	1	2	2	2	1	2	2	2	1	2	2	1	1	2	1	2	2	1	2	1	2	2	1	1	2	2	2	"no, any evaluation is feedback and I am the person in charge of deciding whether or not to integrate that feedback into my daily practice of our profession."	"Libraries tend to hire people who are satisfied with the status quo. They can be a bad place to work if you like to try new things, or aren't afraid of failing when you try something new. Librarians who fear being negatively evaluated probably work in one of those environments, where they are negatively judged repatedly for trying new things or appearing to ""waste"" library resources. Libraries should hire competent, emotionally healthy people who enjoy new challenges, and reward people for their attempts to try new services, do new things, and improve their workplace. "	"Don't care so much about what other people think, and instead focus on the difference you make for your customers. "	37.6875	-97.33799744	-1
R_exRNoVz3lFWQB01	Default Response Set	Anonymous			76.228.210.240	0	4/23/2014 15:25	4/23/2014 15:35	1	1	1	5	1	2		1		1	4	10	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	1	2	1	1	2	2	1	"No, because in my current position i am not afraid of getting a negative evaluation."	"Supervisors should be evaluated. If there is fear of negative evaluations that is negatively affecting work, changes should be demanded.  "	"Meditation, and documentation of excessive negative evaluation and the effect it is having  on job performance. "	34.58520508	-92.67420197	-1
R_bkNTVh28Nma2fg9	Default Response Set	Anonymous			128.237.28.15	0	4/23/2014 16:05	4/23/2014 16:10	1	1	1	3	1	6	special	3		2	4	8	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	1	2	2	2				40.44389343	-79.95610046	-1
R_cPe8MNgeTYP1Hh3	Default Response Set	Anonymous			154.48.157.6	0	4/23/2014 16:03	4/23/2014 16:14	1	1	1	4	2	3		2		1	2	5	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	2	2	2	 no	have clear and open communication. be consistent and transparent as a supervisor	be yourself. there are things you cannot control.	37.34460449	-6.063903809	-1
R_0GTP93Xo6pFqLhX	Default Response Set	Anonymous			97.113.141.106	0	4/23/2014 16:17	4/23/2014 16:22	1	1	1	3	1	6	medical	3		2	2	8	2	1	2	1	2	2	2	2	1	1	2	1	2	1	1	2	1	2	1	2	2	2	1	2	1	1	2	1	2	2	1	Not yet but am concerned if I move into a supervisory position	"Clear policies, expectations and job performance goals/objectives "	Network extensively. You'll soon find that others have made big mistakes and learned from them to build their careers forward. 	47.60620117	-122.3320999	-1
R_3f5cvpBL8vMdew5	Default Response Set	Anonymous			209.250.222.227	0	4/23/2014 16:16	4/23/2014 16:23	1	1	1	5	1	2		3		1	6	5	1	1	2	2	1	2	2	2	1	2	1	2	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	1	No	"After the first few years (3-5), only do evaluations every 3-5 years and not every year."	"Evaluations are a part of our profession, take them in stride and do your best no matter what."	41.17550659	-79.37909698	-1
R_0TdRksKdBieyIhn	Default Response Set	Anonymous			149.168.27.243	0	4/23/2014 10:02	4/23/2014 16:28	1	1	1	4	1	6	government	4		2	6	8	3	1	2	1	2	2	2	2	2	2	1	2	2	2	2	2	1	2	1	2	2	1	2	1	2	2	2	1	2	2	1	No	Better communication from management to staff	I can't think of anything	35.77160645	-78.63559723	-1
R_8949gRGc9csCrHf	Default Response Set	Anonymous			137.151.130.39	0	4/23/2014 15:01	4/23/2014 16:47	1	1	1	3	6	2		3		2	2	11	2	1	2	2	1	2	1	2	1	2	1	2	1	2	2	1	1	2	1	2	2	1	2	1	2	2	1	1	2	2	2	"I have not been afraid of negative evaluations.  Those are the opinions of another person who may not be objective so I don't let them impacy my actions, if my actions are appropriate."	Provide opportunities to improve self-esteem.  Every person has not had the benefit of being in environments that promote self-esteem and providing development opportunities may help.	"A negative evaluation is not the end of the world or your career.  Don't take it to heart.  If there is something valid, work on it if it will make you proud of yourself and your work."	33.87680054	-117.8930969	-1
R_eJTiot5E6Ro10IR	Default Response Set	Anonymous			166.66.18.44	0	4/23/2014 16:49	4/23/2014 16:53	1	1	1	3	1	2		3		1	5	8	3	1	2	2	2	2	2	2	1	2	1	2	2	2	2	2	1	2	1	2	2	1	2	1	2	2	2	1	2	2	2	no	find another job	work smarter	39.98109436	-76.37840271	-1
R_6DahAIVQg8TAneB	Default Response Set	Anonymous			134.129.193.217	0	4/23/2014 17:10	4/23/2014 17:33	1	1	1	7	1	2		2		1	6	3	2	1	2	2	2	1	2	1	1	2	2	2	2	1	1	2	1	2	1	2	2	1	2	1	2	2	2	1	2	2	2	No	Administrators are there to help librarians do their job well.  Let librarians know that you as administrators support them in their work.	"Trust in yourself and your abilities, and if you feel insecure about doing that, do what you believe you need to do to become confident in your abilities.  "	47.87190247	-97.15029907	-1
R_bqtePokKsLdIVMx	Default Response Set	Anonymous			63.200.234.145	0	4/23/2014 17:46	4/23/2014 17:49	1	1	1	2	2	1		3		1	3	8	2	1	1	1	1	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2				34.0625	-118.1228027	-1
R_6uisYc3rVweYD3v	Default Response Set	Anonymous			138.87.154.191	0	4/23/2014 17:48	4/23/2014 17:56	1	1	2	3	1	2		3		2	3	8	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	1	2	1	2	2	1	1	2	2	2	"No; I have been fortunate that the evaluation process has been mostly formative, rather than punitive, at the three academic insitutions were I have worked. For the most part, I am pretty self-motivated and have been productive, so I typically haven't been one that has to receive negative evaluations to put me into gear."	Make the process as transparent as is possible and get on peer review committees to change them from the inside if the culture encourages negative evaluations that aren't meant to punish rather than being formative.	"I tell people to stand up for themselves; if they feel they have been unfairly accessed, then follow the proper procedures to appeal."	40.51029968	-88.9980011	-1
R_6G9oFhkOWtjCDnD	Default Response Set	Anonymous			74.85.37.2	0	4/23/2014 13:28	4/23/2014 19:05	1	1	1	3	1	1		3		2	3	6	2	1	2	2	2	1	2	1	1	2	2	2	2	1	1	2	1	2	1	2	2	2	1	1	1	1	2	2	1	2	2	"I think anxiety in general has affected my career more than fear of negative evaluations. Also I have felt less fear of negative evalation (and anxiety) when my responsibilities were more in tune with my aptitude and interests and level of mastery. I'm really uncomfortable in my current position, don't see any way out of it since my experience is now rooted in this area, so anxiety is high and negative evaluation feels more iminent than it did when I was using my natural skills. (Was that all one sentence?! A deeper textbox here would be nice) "	"Some tech companies actually encourage making mistakes and taking risks. Other than that, no specific recommendations."		46.19329834	-123.0547943	-1
R_6ze9WXJa86PluVD	Default Response Set	Anonymous			71.203.127.245	0	4/23/2014 19:18	4/23/2014 19:34	1	1	1	4	1	6	Independent research library	1		2	5	6	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	2	2	No	"Encourage the use of an evaluation process in which the subject and supervisor work as a team, responding to open-ended questions about past performance and formulating new goals together.  Try to avoid evalation formats that rely strictly on a numeric rating scale. "	"Try to view the evaluation as a learning experience.  Learn to accept constructive criticism with grace.  If you feel you are being harassed or judged unfairly, present documentation of your work (statistics, etc.) to support your point of view; or, consider getting a second opinion from a trusted/impartial source."	39.73510742	-75.66840363	-1
R_9RfjgYoskgxvcVv	Default Response Set	Anonymous			173.67.145.153	0	4/23/2014 21:00	4/23/2014 21:03	1	1	1	3	1	2		2		1		4	2	1	2	2	2	2	2	2	1	2	2	2	1	2	2	1	1	2	1	2	2	1	2	1	1	1	2	1	2	2	2	No. 	??	Be confident in who you are and what you have to offer. 	40.18139648	-76.99690247	-1
R_3ko5TAEOB1djyT3	Default Response Set	Anonymous			24.149.25.16	0	4/23/2014 22:39	4/23/2014 22:43	1	1	2	3	1	2		1		2	3	8	3	1	2	2	2	2	2	1	2	2	2	2	1	2	1	1	1	1	1	2	2	1	2	1	2	1	1	2	2	2	2	No			42.51739502	-92.51689911	-1
R_8DrGS81mGAfc0jb	Default Response Set	Anonymous			64.134.244.66	0	4/24/2014 6:25	4/24/2014 6:37	1	1	2	4	1	2		2		1	6	1	2	1	1	1	1	1	2	2	2	1	2	2	2	2	1	2	1	1	1	1	1	2	2	2	1	2	1	1	2	2	1	"Not necessarily.  My ""fears"" are more due to the impact on myself and the Library of negative evaluations conducted by people whom I believe lack the requisite leadership skills to conduct fair and productive evaluations (my current institution has a long record of administrative instability)."	"Not an easy question.  I think supervisors within the library should try to do what can been done to minimize such fears, but it really is an issue of institutional culture, something that the top administration much take ultimate responsibility for.  I think it is important for librarians to look at the larger picture and be able to demonstrate their talents and knowledge through their scholarly/professional work.  Basically, amass evidence - a body of work - that would contradict a negative evaluation by a supervisor."	Having a mentor can be a great help.  Also keep in mind the old adage that just because you're paranoid doesn't mean someone isn't out to get you (e.g try to maintain a sense of humor and have something other that work in your life that fulfills you).	38	-97	-1
R_aWsNIsatGdYFpwV	Default Response Set	Anonymous			66.169.119.224	0	4/24/2014 6:53	4/24/2014 6:59	1	1	1	7	1	2		1		2	7	8	2	1	1	2	2	1	2	1	2	1	2	2	2	1	1	2	1	1	1	1	1	2	1	2	1	1	2	2	1	1	2		"Supervisors should conduct themselves professionally in the workplace.  This includes *not* making snarky comments about supervisees, not yelling at them, and not ridiculing them."		33.14639282	-97.09020233	-1
R_9GG6yT7A8XPWJiB	Default Response Set	Anonymous			141.211.172.66	0	4/24/2014 7:39	4/24/2014 7:45	1	1	1	4	1	2		1		1	6	4	2	1	2	1	1	2	2	2	1	2	1	1	1	2	2	1	1	2	1	2	1	2	2	2	2	2	2	1	2	1	1	made me less willing to take risks - I don't mind failing but that is not provided as an option			42.29229736	-83.71450043	-1
R_6rExcrCg5PabFml	Default Response Set	Anonymous			141.209.33.202	0	4/24/2014 7:53	4/24/2014 7:56	1	1	1	2	1	2		1		2	2	8	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1	2	2	1	1	1	2	2	1	2	1	1	2	2	1	2	1	no	regular feedback rather than high-pressure annual evaluations	you cannot please everybody so trying your best and hoping for the best is probably good policy!	43.56469727	-84.84729767	-1
R_eVfGtuUWeqlc8kd	Default Response Set	Anonymous			216.145.192.133	0	4/24/2014 8:01	4/24/2014 8:17	1	1	1	5	1	2		5	Reference & Documents	1	6	11	2	1	2	2	1	1	1	2	1	2	1	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	1	1	2	2	2	no	"It would be beneficial if they received feedback on a constant basis, so that the once a year evaluation is not a surprise. I also think that positive feedback from the supervisor helps throughout the year."	"They could ask their supervisor or feedback, ways to improve throughout the year."	39.44059753	-77.81369781	-1
R_9v6JpEy5pye8kIt	Default Response Set	Anonymous			192.203.127.3	0	4/24/2014 8:38	4/24/2014 8:44	1	1	2	3	1	2		5	Information Literacy	2	1	11	2	1	2	2	1	2	1	1	1	2	1	1	1	2	1	1	1	2	1	2	2	1	2	1	2	1	1	2	2	2	1	No	Try to understand where those feelings are coming from and are the rational or not.  Focus on doing what you can do to the best of your ability.  Try to do your best.	You can only control what you do so do your best under this premise.  Use positive affirmations to strengthen your self esteem.	32.41720581	-85.71910095	-1
R_2l3I4CbXXCy9lDn	Default Response Set	Anonymous			165.190.82.22	0	4/24/2014 8:36	4/24/2014 8:46	1	1	1	3	1	2		1		1	5	5	2	1	2	2	2	2	2	2	1	2	1	2	2	2	2	1	1	2	1	2	2	1	1	1	2	1	1	1	2	2	2	"I do not fear a negative evaluation, as I have never really had a bad evaluation. I find some of my colleagues to be a bigger problem for me than my superiors. That does sometime have a negative effect on me and my career."	I feel that in many cases we use evaluations improperly. They really should not be used to tear someone down but to highlight strenghts and give contructive feedback on areas that could be worked on.	"If one does a good job throughout the year, there realy should not be any major suprises on the evaluation. If there are surprises then the supervisor has failed to explain their expectations and as an employye I would, in a professional way, question the statements that caused the suprise. "	40.43440247	-80.02480316	-1
R_74ELdr2EPug6xVj	Default Response Set	Anonymous			160.36.193.96	0	4/24/2014 8:41	4/24/2014 8:48	1	1	1	2	3	2		5	Instruction and Public Service	2	1	8	2	1	2	2	2	1	2	2	2	2	2	2	1	2	2	1	1	2	1	2	2	1	2	1	1	2	2	1	2	1	2	No not really. I actually would appreciate negative evaluations because it gives me something to work toward	I think negative responses should be treated as necessarily a bad thing. Sometimes negative evaluations an help you to grow especially if it is specific and actually focused on the work and not the person. 	No one is perfect and it is deeply disheartening when people are not open to feedback or critique. or are overly sensitive. 	35.96060181	-83.92070007	-1
R_3NVpjSAZYY1W3Zz	Default Response Set	Anonymous			128.173.127.189	0	4/24/2014 9:12	4/24/2014 9:25	1	1	1	3	3	2		1		1	1	11	2	1	1	1	2	1	2	1	2	1	2	2	2	2	2	2	2	2	2	1	1	2	1	2	1	1	2	2	2	2	2	"Yes. I often feel stress, it affects my energy level, my mood, and deminishes my level of prduction and performance."	"A positive, inclusive, and supportive environment would help. I work in a very competitve, self serving, judgemental environment that is not all that welcoming to minorities. "	"Work hard, do your best, take your antidepressant meds if you need them. "	37.17909241	-80.35150146	-1
R_74obVGYme0iP00J	Default Response Set	Anonymous			128.252.66.99	0	4/24/2014 9:34	4/24/2014 9:45	1	1	1	3	1	2		3		1	4	4	2	1	2	2	2	1	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	2	2	2	"Not really. I am confident in my skills and abilities. I do have some concern for negative opinions of my work, but it is not debilitating. I'm not afraid to fail when trying something new as long as I learn from the experience."	"I feel like too many library settings don't afford ample opportunities for positive feedback throughout the work year. Librarians do not always make the best supervisors. Having solid leadership and personnel management skills, focused on cultivating growth and a positive approach to daily work, would help combat some of this fear in the library setting. "	"Talk about it with their supervisor before the evaluation process. Let the supervisor know about this fear and work together to get the approval, commendations, or positive feedback that might help combat the fear."	38.66569519	-90.32309723	-1
R_8AOd56FTZW2sMfj	Default Response Set	Anonymous			128.252.66.36	0	4/24/2014 9:33	4/24/2014 9:47	1	1	1	3	1	2		2		1	3	4	2	1	2	1	2	1	1	2	2	2	2	1	2	2	2	2	1	1	1	2	1	2	1	2	1	1	1	2	1	1	1	"Perhaps.  My lack of confidence might keep from pursuing certain career options.  I'm sure if it is exactly fear of negative evaluations.  I have always had a fear of failure and it bleeds into all aspects of my life:  work, personal, school, etc."	"Make sure that people feel like they can take risks and feel like there will be consequences if things do not go as planned.  We need to encourage innovation and creative thinking.  If people get too wrapped into their evaluations, they are losing sight of the big picture.  Long term, this could have negative consequences for the  library's ability to keep up with user demands."	"Evaluations are simply a tool.  No one performs at 100%.  We all need a little constructive criticism in order to grow and improve.  Otherwise, we can all get stale.  "	38.66569519	-90.32309723	-1
R_bjir6diyKRey125	Default Response Set	Anonymous			149.152.191.2	0	4/24/2014 10:07	4/24/2014 10:15	1	1	1	3	1	2		1		2	4	8	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	1	2	2	2	I think if you don't get feedback from your evaluators that is constructive it is hard to improve.	I don't think anyone I work with fears a negative evaluation.  We usually evaluate each other too lightly which makes our work ineffective.	"I would say to ask for feedback from their colleagues on their work and to not take things personally if they aren't being effective, just try to improve."	41.77789307	-72.70320129	-1
R_e8oCydUsuMsa0OF	Default Response Set	Anonymous			168.156.38.92	0	4/24/2014 10:03	4/24/2014 10:19	1	1	1	4	1	2		3		2	3	8	2	1	1	2	2	2	2	2	1	1	2	1	2	2	1	2	1	1	2	1	1	2	1	2	1	1	2	1	1	2	1	"I've been overly concerned with what I think are others' expectations rather than I can control, which are my thoughts and behaviors. This has led me to overreact to situations and given me a reputation as being difficult to work with."	"true, open environment that values opinions; workshops to help those with FNE learn strategies to overcome the underlying issues causing it."	"You can't control what others are feeling or how they behave, but you can control your feelings and how you will respond. This will lead to confidence in your abilities and help overcome anxiety about your performance."	47.62010193	-122.1408005	-1
R_e3bB8kdu9qfzBfD	Default Response Set	Anonymous			130.253.229.186	0	4/24/2014 11:44	4/24/2014 11:48	1	1	1	5	7	2		3		2	4	10	2	1	1	1	2	1	2	1	1	1	2	2	2	1	1	2	2	1	2	1	2	2	1	2	1	1	2	2	2	1	1	No	I don't know	"No - just keep doing the best that you can. Hopefully, there will be something that will be good."	39.73880005	-104.4083023	-1
R_0Gmeu3zTeFd7Xo1	Default Response Set	Anonymous			129.72.129.239	0	4/24/2014 11:44	4/24/2014 12:01	1	1	2	4	1	2		1		2	7	8	2	1	2	1	2	2	2	2	2	1	2	2	2	2	2	2	1	1	1	2	1	2	2	2	1	2	2	1	2	2	1	No	"Assure a positive organizational culture exists, where expectations are clearly stated & consistently/fairlly applied.  Supervisors should make posiitive suggestions as to the need for imprrovement, and not personalize criticism."	"Try to assess organizational climiate when interviewing for a job, to determine whether the employer wants people to succeed.  If yes, good work will be recognized and areas for improvement will be communicated in constructive terms."	41.31140137	-105.5911026	-1
R_0qC5Mxy77pwiZb7	Default Response Set	Anonymous			128.200.102.83	0	4/24/2014 11:56	4/24/2014 12:04	1	1	1	4	1	2		5	collections	2	7	8	1	1	2	2	1	2	1	2	2	2	1	1	1	2	2	1	1	2	2	2	2	1	2	2	1	2	1	1	1	2	2	occasionally - supervisors tend to have long memories; standing up for one's rights and integrity are critical to me and often have long term implications in an organization where leadership has little confidence to justify poor decisions	"consider role of omsbudmen on campus, be familiar with whistleblower ooptions, stand up for what is right, defend oneself with lots of evidence"	"be strong, deal with it in a civilized, diplomatic way, always be curteous, pick your battles"	33.64030457	-117.7694016	-1
R_e4MU5mjDJvG6DOJ	Default Response Set	Anonymous			146.186.235.44	0	4/24/2014 11:56	4/24/2014 12:11	1	1	1	5	1	2		3		2	7	8	2	1	2	2	2	1	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	2	2	2	"No, but then I always have received positive evaluations. I have some shyness (much less than when I was younger), probably due to slight concern of what others, especially superiors, will think of me, but it never reached the level of ""worry"". Experience and repeated positive feedback have lessened my shyness and concern, and I have attained promotions."	"II always feel a positive atmosphere, positive feedback, and kindness go a long way toward encouraging growth of all humans, in or out of the workplace. Negative evaluations are not helpful unless you want to get rid of someone. "	Do your best work; ask for informal feedback from peers to improve; and believe in yourself.	40.33770752	-75.97689819	-1
R_39hYg4BrE0yv7il	Default Response Set	Anonymous			198.186.250.252	0	4/24/2014 12:10	4/24/2014 12:19	1	1	1	4	1	2		3		1	3	7	2	1	1	1	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	1	1	2	2	2	1	2	2	2	1	1	1	Yes. Fear of negative evaluations causes me to work way too hard and stress too much on even simple duties. I'm burning out.	"Supervisors need to commit to use evals as feedback tools, not corrective action with teeth if you don't perform to standard. I'd like to have the equivalent of a test matrix to know what my supervisor's levels of expectations are."	Just work really hard so that you can remove any reason for getting a negative eval. (No ammo; no injury)	33.22009277	-97.15019989	-1
R_2bhKhuRjY2Vv6Ch	Default Response Set	Anonymous			128.164.214.201	0	4/24/2014 12:18	4/24/2014 12:32	1	1	1	2	1	2		3		2	3	8	2	1	1	2	2	1	2	2	2	2	2	1	2	1	1	2	1	2	2	1	1	2	1	2	1	2	2	1	2	2	1	There is very little recourse at our institution for righting or arguing these evaluations.  And doing so labels you to your superiors.	"Don't work in libraries.  No, really.  These are small fierce competition places of work.  The faint of heart will never do well in librarianship."	Learn how to say no.	38.93760681	-77.09279633	-1
R_2rH23Pd81stDXox	Default Response Set	Anonymous			12.239.84.130	0	4/24/2014 12:46	4/24/2014 12:49	1	1	1	2	1	1		5	Youth Services	2	1	8	2	1	1	2	2	1	2	2	1	1	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	1	2	1	2	2	2	I actually feel that my career has helped me overcome some fears of negative evaluations.			37.12049866	-94.49770355	-1
R_bQa37caXqp216xD	Default Response Set	Anonymous			199.250.57.231	0	4/24/2014 12:47	4/24/2014 12:49	1	1	1	2	1	1		3		1	2	4	2	1	1	1	2	1	2	2	2	2	2	2	2	1	1	2	1	1	2	1	2	2	2	2	1	2	2	1	2	2	2	No			47.03790283	-122.9006958	-1
R_6QfOzk2C1Phuo7z	Default Response Set	Anonymous			152.13.249.96	0	4/24/2014 12:49	4/24/2014 12:52	1	1	1	5	1	2		2		1	7	2	2	1	2	2	2	1	1	2	1	2	1	2	2	2	2	1	1	1	1	2	2	2	2	1	1	2	1	1	2	2	2	no	make sure job expectations are well-defined	make sure their job expectations are clear.  Get therapy	36.06610107	-79.80670166	-1
R_diIXEQyKQ7rjJOJ	Default Response Set	Anonymous			147.222.25.150	0	4/24/2014 13:30	4/24/2014 13:37	1	1	1	4	1	2		1		1	7	10	2	1	1	2	2	2	1	2	1	2	2	1	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	1	2	2	2	No	"I think evaluations have to be formative, if the institution can frame in in that way as opposed to punative it might help. "		47.65359497	-117.4317017	-1
R_8Gut7t3byYjEl5X	Default Response Set	Anonymous			23.30.166.185	0	4/24/2014 12:18	4/24/2014 13:44	1	1	1	1	1	1		3		2	1	8	1	1	1	1	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	1	2	1	2	2	2	2	1	1	2	1	No	Offer both positive aspects and constructive criticism. Provide concrete examples of how someone can improve their performance.		42.93960571	-71.53530121	-1
R_bvm24NoHA09tszz	Default Response Set	Anonymous			130.126.33.155	0	4/24/2014 14:24	4/24/2014 14:31	1	1	1	4	1	2		3		1	7	5	2	1	2	2	2	2	2	2	1	1	2	2	1	2	2	2	1	2	1	2	2	2	2	1	2	2	2	1	2	2	2	"No, in general I accept that evaluations are part of the learning and growing process - even when they are less than comfortable."	"Greater communication and information about the purpose and intent of evaluations, and how even negative evaluations can be constructive."	"Talk to others who are willing to share negative experiences in their work life, and how they handled it."	40.10949707	-88.21230316	-1
R_5d475UUcBE7zQnX	Default Response Set	Anonymous			132.170.71.28	0	4/24/2014 14:43	4/24/2014 14:52	1	1	1	3	1	2		3		2	4	11	2	1	2	1	2	1	1	2	2	1	2	1	2	2	1	2	1	1	1	1	2	2	1	2	2	1	2	2	1	2	1		"perhaps more frequent evaluations, to get employee accustomed. May also improve time management"	"make sure you have regularly set and updated, clear-cut, MEASURABLE goals so you can reassure yourself of your progress"	28.56629944	-81.26080322	-1
R_eKYvsAFtTHZHhLT	Default Response Set	Anonymous			64.69.246.88	0	4/24/2014 14:52	4/24/2014 15:01	1	1	2	5	1	2		2		1	3	1	2	1	2	2	1	2	2	2	2	2	2	2	1	2	2	2	1	2	1	2	2	2	2	2	2	2	1	1	2	2	2	no	Frequent positive strokes. Start and end each evaluation with a positive comment. Spend time with those who cause the fear and try to modify their methods.	DO your best each day and work to improve in areas rated as less than desired--then let it go.  it is all you can do.	33.60670471	-102.3871994	-1
R_3UHWbndsN6sVkTr	Default Response Set	Anonymous			174.51.240.69	0	4/24/2014 14:59	4/24/2014 15:03	1	1	1	2	1	2		2		1	4	4	2	1	2	2	2	1	2	1	2	2	2	2	1	1	1	1	1	2	1	2	1	2	1	1	2	2	2	1	2	2	2	"No, I try my best no matter what."	"Known, written expectations from supervisor. My employees have this from me and tell me they appreciate it.  I do not have it from my boss and I do feel fear."		39.82879639	-105.0606995	-1
R_3mExH0EbTkmZhUF	Default Response Set	Anonymous			129.82.29.147	0	4/24/2014 15:03	4/24/2014 15:08	1	1	1	3	6	2		3		2	5	9	2	1	2	2	2	2	1	2	1	2	1	1	2	2	2	1	1	2	1	2	2	1	2	1	2	2	1	1	2	2	2	"No. Not my career, but my financial bottom line."	Cost of living wage increases for anyone who is performing satisfactory or better work.	See a therapist.	40.45550537	-105.464798	-1
R_892zbvmoE5mFA0J	Default Response Set	Anonymous			128.138.161.200	0	4/24/2014 15:15	4/24/2014 15:30	1	1	1	4	1	2		1		1	6	8	2	1	2	2	1	2	1	2	1	2	1	2	1	2	2	1	1	2	1	2	2	1	2	1	2	2	1	1	2	2	1	No.	"I think these are mainly personall self-esteem issues, but it's also good to make librarians aware about the exisitence of workers wiht FNE and how to supervise and work with these people. I suspect that workers with FNE need more positive reinforcement and ""warm fuzzies"" than most workers. Perhaps workplace seminars on working with a variety of co-workers (including those with FNE) would be advisable."	"Since I don't have FNE, I don't have any first hand advice, but I suspect finding a supportive mentor and/or therapist would be helpful."	40.08779907	-105.373497	-1
R_9F6XBJhMD17o1Vj	Default Response Set	Anonymous			128.163.8.74	0	4/24/2014 15:30	4/24/2014 15:36	1	1	1	4	1	2		1		1	5	4	1	1	1	2	2	1	2	2	1	1	2	2	1	1	1	2	1	2	1	2	2	2	2	2	2	1	1	2	2	2	1	No	Work with supervisors to have clear goals and have regular progress reports so both sides can see how responsibilties are being handled.	Take a deep breath. Work out the worst that can happen and how you would handle it and the best and how you would handle that.	38.02870178	-84.50749969	-1
